Name,Description,Price,VeganFlag,VegetarianFlag,GlutenFreeFlag,SpicyFlag,Category,ImageName,Ingredients,Active,HappyHour
Buttermilk Pie,"Smooth, mild, and sweet, our buttermilk filling is like a cross between a chess pie and a custard.",7.99,no,yes,no,no,Dessert,desserts/buttermilk-pie.jpg,"Bread, Avocado, Tomatoes, Eggs",yes,3.99
Cinnamon Roll,"Organic acai blended with strawberries and bananas, and topped with crunchy granola, fresh blueberries and raspberries, sliced bananas, almonds, and chia seeds",7.99,yes,yes,no,no,Dessert,desserts/cinamon-Roll.jpeg,"Bread, Acai, Strawberries, Bananas, Granola, Blueberries",yes,3.99
Monkey Bread,One country style open-faced biscuit with two freshly cooked sausages topped with homemade white gravy,4.99,no,yes,no,no,Dessert,desserts/monkey-bread.jpg,"Biscuits, Sausage",yes,2.49
Chocolate Scone,Your classic scone with dark chocolate chunks and sprinkled with coarse sugar and chocolate sauce.,4.99,yes,yes,no,no,Dessert,desserts/chocolate-scone.jpg,"Bacon, Red Peppers, Onions, Chocolate, Bread ",yes,2.49
Chocolate Crepes,"Chocolate Fudge with creme fraiche, pine nuts and caramelized pears.",4.99,no,yes,no,no,Dessert,desserts/chocolate-crepes.jpg,"Greek Yogurt, Blueberries, Blackberries, Granola",yes,2.49
Blueberry Breakfast Cakes,,2.99,yes,yes,no,no,Dessert,desserts/blueberry-breakfast-cakes.jpg,"Bread, Almonds, Sugar, Chocolate ",yes,1.49
The Benny,One poached egg with half a toasted english muffin served two strips of bacon,5.99,no,no,no,no,Kids Meal,kidsmeals/the-benny.jpg,"Eggs, English Muffins, Bacon",yes,2.99
Rise and Shine,Two sunny side up eggs served with hashbrowns and two stips of bacon,6.99,no,no,yes,no,Kids Meal,kidsmeals/rise-and-shine.jpg,"Eggs, Potatoes, Bacon",yes,3.49
The English,Two slices of rye bread topped with black beans and shredded sharp cheddar,4.99,no,yes,no,no,Kids Meal,kidsmeals/the-english.jpg,"Bread, Black Beans ",yes,2.49
Yogurt Parfait,"Creamy vanilla Greek yogurt layered with blueberries, raspberries, blackberries, and granola.",2.99,no,yes,no,no,Appetizer,appetizers/fruity-yogurt-parfait.jpg,"Greek Yogurt, Blueberries, Blackberries, Granola",yes,1.49
Acai Bowl,"Organic acai blended with strawberries and bananas, and topped with crunchy granola, fresh blueberries and raspberries, sliced bananas, almonds, granola, and chia seeds.",2.99,yes,yes,yes,no,Appetizer,appetizers/acai-bowl.jpg,"Granola, Acai, Strawberries, Blueberries, Bananas, Almond Milk",yes,1.49
